order_no,Product,Quantity
527,Twister,2
528,Tux,4
529,Bird,1
530,Jenga,2
531,Bird,2
532,Twister,4
533,Tux,1
534,Whale,4
535,Elephant,2
536,Tux,2
537,Whale,1
538,Whale,1
539,Bird,2
540,Uno,2
541,Elephant,2
542,Hippo,5
543,Whale,5
544,Jenga,1
545,Twister,4
546,Hippo,1
547,Tux,2
548,Twister,4
549,Tux,3
550,Twister,4
551,Clue,5
552,Twister,3
553,Jenga,3
554,Whale,1
555,Elephant,1
556,Hippo,1
557,Uno,3
558,Tux,2
559,Elephant,2
560,Clue,2
561,Uno,2
562,Tux,5
563,Whale,3
564,Whale,3
565,Clue,2
566,Uno,3
567,Twister,4
568,Whale,3
569,Bird,2
570,Bird,4
571,Tux,3
572,Hippo,2
573,Tux,4
574,Tux,3
575,Uno,1
576,Whale,4
577,Tux,5
578,Twister,5
579,Bird,2
580,Tux,3
581,Uno,2
582,Clue,3
583,Uno,3
584,Hippo,4
585,Bird,4
586,Jenga,1
587,Twister,2
588,Whale,2
589,Tux,1
590,Bird,1
591,Hippo,1
592,Jenga,5
593,Whale,2
594,Hippo,1
595,Uno,4
596,Jenga,1
597,Uno,2
598,Twister,1
599,Bird,2
600,Jenga,3
601,Bird,3
602,Uno,3
603,Uno,4
604,Clue,1
605,Uno,4
606,Uno,5
607,Uno,2
608,Jenga,2
609,Jenga,4
610,Hippo,2
611,Twister,1
612,Clue,1
613,Bird,4
614,Tux,2
615,Whale,2
616,Clue,2
617,Clue,5
618,Jenga,5
619,Bird,4
620,Jenga,1
621,Hippo,2
622,Clue,5
623,Hippo,1
624,Hippo,4
625,Hippo,1
626,Clue,5
627,Hippo,3
628,Bird,4
629,Hippo,3
630,Whale,2
631,Tux,5
632,Uno,2
633,Bird,3
634,Uno,4
635,Jenga,2
636,Bird,3
637,Tux,3
638,Uno,4
639,Tux,2
640,Bird,3
641,Bird,5
642,Clue,2
643,Uno,3
644,Uno,3
645,Uno,5
646,Uno,2
647,Tux,4
648,Uno,1
649,Jenga,4
650,Bird,2
651,Tux,1
652,Jenga,4
653,Whale,5
654,Tux,5
655,Jenga,2
656,Whale,5
657,Tux,1
658,Jenga,3
659,Hippo,1
660,Bird,1
661,Jenga,1
662,Bird,2
663,Uno,5
664,Uno,2
665,Bird,1
666,Hippo,4
667,Jenga,1
668,Hippo,5
669,Hippo,1
670,Jenga,3
671,Jenga,4
672,Hippo,2
673,Hippo,1
674,Clue,5
675,Clue,5
676,Bird,1
677,Hippo,2
678,Whale,4
679,Whale,3
680,Whale,1
681,Whale,1
682,Whale,3
683,Whale,4
684,Whale,2
685,Whale,1
686,Clue,3
687,Tux,1
688,Elephant,5
689,Whale,3
690,Uno,2
691,Bird,4
692,Uno,1
693,Tux,2
694,Elephant,2
695,Uno,2
696,Jenga,3
697,Tux,2
698,Whale,2
699,Tux,3
700,Whale,5
701,Lego,3
702,Uno,1
703,Hippo,5
704,Uno,2
705,Bird,2
706,Twister,5
707,Hippo,1
708,Whale,2
709,Tux,5
710,Lego,2
711,Lego,1
712,Bird,4
713,Bird,5
714,Hippo,4
715,Hippo,5
716,Hippo,5
717,Hippo,5
718,Elephant,2
719,Uno,4
720,Whale,1
721,Clue,5
722,Hippo,1
723,Clue,3
724,Lego,3
725,Clue,5
726,Whale,3
727,Hippo,2
728,Tux,1
729,Lego,1
730,Twister,5
731,Clue,1
732,Bird,2
733,Whale,3
734,Elephant,2
735,Elephant,5
736,Twister,2
737,Hippo,4
738,Twister,2
739,Elephant,3
740,Uno,3
741,Whale,4
742,Lego,5
743,Tux,5
744,Tux,3
745,Bird,1
746,Hippo,1
747,Tux,3
748,Elephant,2
749,Lego,4
750,Bird,3
751,Twister,5
752,Whale,5
753,Tux,5
754,Hippo,3
755,Jenga,1
756,Whale,4
757,Lego,1
758,Elephant,4
759,Tux,2
760,Elephant,3
761,Hippo,4
762,Twister,4
763,Uno,5
764,Whale,3
765,Elephant,3
766,Tux,3
767,Elephant,5
768,Uno,5
769,Jenga,4
770,Twister,4
771,Twister,1
772,Tux,3
773,Uno,1
774,Elephant,4
775,Uno,5
776,Hippo,3
777,Bird,2
778,Lego,3
779,Bird,3
780,Whale,4
781,Twister,4
782,Uno,4
783,Hippo,3
784,Jenga,3
785,Elephant,4
786,Lego,1
787,Tux,4
788,Tux,2
789,Uno,2
790,Tux,1
791,Tux,5
792,Tux,3
793,Tux,5
794,Twister,1
795,Bird,4
796,Twister,5
797,Bird,5
798,Twister,2
799,Bird,5
800,Twister,1
801,Tux,1
802,Bird,2
803,Hippo,3
804,Elephant,2
805,Elephant,4
806,Hippo,4
807,Uno,4
808,Hippo,4
809,Whale,2
810,Lego,5
811,Elephant,5
812,Uno,5
813,Lego,3
814,Elephant,2
815,Whale,3
816,Hippo,3
817,Tux,4
818,Bird,3
819,Uno,2
820,Bird,1
821,Elephant,2
822,Elephant,5
823,Twister,1
824,Elephant,5
825,Hippo,4
826,Jenga,3
827,Uno,4
828,Whale,3
829,Tux,2
830,Tux,2
831,Tux,3
832,Lego,3
833,Jenga,1
834,Lego,3
835,Elephant,5
836,Tux,4
837,Lego,3
838,Elephant,4
839,Twister,3
840,Tux,4
841,Whale,1
842,Tux,1
843,Lego,5
844,Jenga,3
845,Uno,3
846,Elephant,5
847,Jenga,3
848,Jenga,2
849,Elephant,3
850,Bird,5
851,Bird,4
852,Whale,1
853,Lego,1
854,Whale,1
855,Whale,5
856,Lego,5
857,Elephant,5
858,Twister,2
859,Whale,3
860,Tux,4
861,Bird,1
862,Lego,4
863,Lego,5
864,Lego,2
865,Twister,5
866,Bird,3
867,Twister,5
868,Jenga,3
869,Tux,5
870,Twister,4
871,Whale,3
872,Uno,4
873,Hippo,3
874,Whale,3
875,Hippo,5
876,Whale,5
877,Uno,5
878,Elephant,4
879,Uno,4
880,Whale,4
881,Tux,1
882,Lego,4
883,Jenga,5
884,Bird,1
885,Elephant,2
886,Lego,4
887,Lego,3
888,Bird,1
889,Hippo,2
890,Whale,5
891,Tux,2
892,Lego,4
893,Whale,1
894,Hippo,3
895,Tux,3
896,Tux,2
897,Bird,2
898,Tux,3
899,Lego,1
900,Elephant,1
901,Whale,4
902,Tux,1
903,Twister,5
904,Twister,2
905,Twister,2
906,Uno,5
907,Twister,3
908,Twister,1
909,Jenga,3
910,Uno,1
911,Lego,3
912,Bird,2
913,Uno,5
914,Lego,3
915,Elephant,2
916,Uno,3
917,Uno,3
918,Bird,4
919,Bird,4
920,Uno,3
921,Twister,3
922,Bird,2
923,Twister,2
924,Uno,1
925,Jenga,3
926,Lego,5
927,Twister,1
928,Jenga,5
929,Twister,3
930,Lego,5
931,Whale,4
932,Twister,2
933,Lego,3
934,Jenga,3
935,Bird,4
936,Bird,1
937,Lego,2
938,Twister,4
939,Jenga,3
940,Whale,1
941,Twister,4
942,Jenga,2
943,Jenga,3
944,Jenga,4
945,Hippo,5
946,Uno,5
947,Whale,3
948,Hippo,4
949,Twister,1
950,Twister,1
951,Twister,5
952,Hippo,2
953,Hippo,4
954,Uno,3
955,Jenga,5
956,Jenga,1
957,Hippo,2
958,Whale,3
959,Hippo,1
960,Whale,2
961,Whale,2
962,Hippo,1
963,Uno,2
964,Hippo,2
965,Jenga,3
966,Hippo,2
967,Whale,2
968,Uno,1
969,Bird,4
970,Bird,5
971,Bird,4
972,Jenga,3
973,Jenga,1
974,Bird,4
975,Bird,1
976,Jenga,4
977,Jenga,1
978,Jenga,1
979,Jenga,5
980,Bird,2
981,Jenga,4
982,Jenga,4
983,Jenga,1
984,Jenga,1
985,Jenga,1
986,Jenga,1
987,Jenga,4
988,Jenga,2
989,Jenga,1
990,Lego,1
991,Jenga,5
992,Elephant,1
993,Uno,2
994,Whale,4
995,Hippo,5
996,Hippo,4
997,Clue,1
998,Lego,2
999,Bird,5
1000,Uno,2
1001,Whale,2
1002,Lego,5
1003,Jenga,1
1004,Uno,2
1005,Whale,2
1006,Lego,5
1007,Elephant,3
1008,Bird,3
1009,Jenga,5
1010,Hippo,5
1011,Clue,2
1012,Hippo,4
1013,Elephant,4
1014,Clue,3
1015,Clue,2
1016,Elephant,2
1017,Bird,5
1018,Elephant,4
1019,Tux,5
1020,Elephant,1
1021,Twister,1
1022,Jenga,5
1023,Twister,3
1024,Hippo,1
1025,Uno,3
1026,Jenga,1
1027,Lego,4
1028,Lego,1
1029,Clue,4
1030,Tux,3
1031,Uno,3
1032,Uno,4
1033,Elephant,1
1034,Lego,3
1035,Whale,2
1036,Jenga,2
1037,Lego,5
1038,Lego,4
1039,Bird,4
1040,Clue,4
1041,Uno,1
1042,Elephant,2
1043,Clue,5
1044,Twister,5
1045,Bird,3
1046,Jenga,5
1047,Clue,3
1048,Whale,5
1049,Twister,4
1050,Tux,1
1051,Lego,3
1052,Hippo,2
1053,Hippo,4
1054,Lego,1
1055,Twister,4
1056,Hippo,2
1057,Bird,3
1058,Whale,1
1059,Jenga,2
1060,Hippo,4
1061,Lego,3
1062,Hippo,1
1063,Tux,3
1064,Elephant,2
1065,Jenga,2
1066,Tux,4
1067,Twister,1
1068,Whale,2
1069,Clue,5
1070,Jenga,3
1071,Bird,2
1072,Bird,4
1073,Lego,5
1074,Hippo,4
1075,Hippo,5
1076,Clue,3
1077,Whale,2
1078,Jenga,5
1079,Tux,1
1080,Whale,2
1081,Clue,2
1082,Bird,1
1083,Uno,5
1084,Twister,5
1085,Clue,4
1086,Jenga,2
1087,Bird,4
1088,Tux,2
1089,Bird,1
1090,Tux,5
1091,Uno,2
1092,Uno,1
1093,Clue,2
1094,Bird,5
1095,Lego,4
1096,Whale,5
1097,Hippo,1
1098,Bird,2
1099,Bird,4
1100,Twister,4
1101,Hippo,3
1102,Whale,5
1103,Elephant,1
1104,Uno,5
1105,Hippo,3
1106,Twister,1
1107,Jenga,2
1108,Twister,5
1109,Uno,4
1110,Jenga,2
1111,Elephant,3
1112,Jenga,5
1113,Elephant,4
1114,Whale,4
1115,Bird,1
1116,Bird,4
1117,Twister,4
1118,Jenga,2
1119,Whale,2
1120,Lego,4
1121,Bird,3
1122,Tux,3
1123,Whale,3
1124,Whale,4
1125,Uno,3
1126,Twister,4
1127,Hippo,2
1128,Lego,3
1129,Twister,5
1130,Tux,4
1131,Uno,5
1132,Twister,1
1133,Jenga,4
1134,Whale,4
1135,Hippo,3
1136,Twister,3
1137,Hippo,4
1138,Clue,2
1139,Jenga,5
1140,Bird,1
1141,Bird,3
1142,Elephant,4
1143,Jenga,1
1144,Whale,5
1145,Uno,2
1146,Tux,1
1147,Lego,4
1148,Uno,1
1149,Lego,2
1150,Tux,4
1151,Bird,4
1152,Hippo,2
1153,Jenga,1
1154,Uno,3
1155,Lego,2
1156,Jenga,1
1157,Tux,2
1158,Hippo,1
1159,Bird,4
1160,Tux,2
1161,Elephant,5
1162,Uno,3
1163,Elephant,5
1164,Hippo,1
1165,Tux,2
1166,Elephant,4
1167,Whale,3
1168,Elephant,5
1169,Elephant,4
1170,Bird,5
1171,Elephant,3
1172,Jenga,1
1173,Whale,3
1174,Elephant,4
1175,Clue,4
1176,Hippo,4
1177,Clue,3
1178,Clue,1
1179,Jenga,3
1180,Twister,1
1181,Twister,1
1182,Clue,3
1183,Lego,2
1184,Twister,4
1185,Clue,4
1186,Twister,3
1187,Twister,4
1188,Jenga,3
1189,Uno,1
1190,Elephant,3
1191,Tux,5
1192,Whale,1
1193,Clue,4
1194,Tux,2
1195,Lego,1
1196,Elephant,3
1197,Clue,3
1198,Uno,1
1199,Bird,3
1200,Tux,1
1201,Clue,3
1202,Hippo,2
1203,Twister,2
1204,Elephant,2
1205,Jenga,1
1206,Twister,5
1207,Uno,4
1208,Uno,3
1209,Jenga,2
1210,Twister,4
1211,Tux,2
1212,Uno,4
1213,Tux,2
1214,Clue,1
1215,Elephant,4
1216,Uno,3
1217,Clue,4
1218,Clue,3
1219,Elephant,1
1220,Uno,4
1221,Hippo,2
1222,Uno,2
1223,Twister,3
1224,Twister,3
1225,Bird,4
1226,Elephant,4
1227,Elephant,4
1228,Hippo,3
1229,Hippo,3
1230,Bird,2
1231,Tux,5
1232,Bird,2
1233,Lego,5
1234,Jenga,2
1235,Jenga,5
1236,Whale,2
1237,Lego,2
1238,Uno,5
1239,Hippo,4
1240,Twister,1
1241,Clue,3
1242,Twister,2
1243,Bird,4
1244,Hippo,5
1245,Twister,5
1246,Hippo,5
1247,Twister,2
1248,Tux,1
1249,Bird,3
1250,Lego,5
1251,Lego,3
1252,Whale,5
1253,Tux,4
1254,Tux,3
1255,Tux,5
1256,Tux,2
1257,Bird,3
1258,Lego,5
1259,Whale,5
1260,Twister,3
1261,Elephant,4
1262,Jenga,2
1263,Whale,3
1264,Elephant,2
1265,Bird,5
1266,Hippo,3
1267,Uno,3
1268,Elephant,2
1269,Twister,4
1270,Elephant,1
1271,Whale,2
1272,Elephant,4
1273,Tux,4
1274,Hippo,1
1275,Uno,3
1276,Tux,2
1277,Jenga,3
1278,Hippo,3
1279,Tux,4
1280,Clue,3
1281,Whale,2
1282,Twister,1
1283,Clue,3
1284,Jenga,5
1285,Whale,5
1286,Clue,4
1287,Bird,3
1288,Jenga,2
1289,Hippo,1
1290,Elephant,3
1291,Twister,1
1292,Jenga,1
1293,Uno,4
1294,Tux,4
1295,Clue,2
1296,Clue,1
1297,Tux,3
1298,Twister,1
1299,Lego,1
1300,Whale,1
1301,Elephant,1
1302,Lego,1
1303,Uno,3
1304,Tux,1
1305,Whale,4
1306,Tux,1
1307,Uno,2
1308,Whale,2
1309,Lego,4
1310,Uno,3
1311,Whale,2
1312,Hippo,3
1313,Uno,1
1314,Uno,2
1315,Lego,5
1316,Whale,1
1317,Tux,3
1318,Whale,5
1319,Uno,1
1320,Jenga,2
1321,Clue,3
1322,Jenga,1
1323,Clue,5
1324,Clue,1
1325,Tux,1
1326,Tux,2
1327,Tux,1
1328,Lego,5
1329,Jenga,2
1330,Jenga,3
1331,Jenga,1
1332,Hippo,2
1333,Uno,3
1334,Jenga,1
1335,Lego,2
1336,Whale,3
1337,Tux,4
1338,Twister,2
1339,Whale,2
1340,Whale,3
1341,Tux,5
1342,Jenga,2
1343,Jenga,1
1344,Tux,1
1345,Elephant,1
1346,Bird,1
1347,Jenga,1
1348,Bird,1
1349,Clue,4
1350,Clue,5
1351,Tux,2
1352,Hippo,3
1353,Whale,2
1354,Lego,5
1355,Tux,3
1356,Hippo,2
1357,Clue,1
1358,Elephant,2
1359,Clue,2
1360,Elephant,5
1361,Jenga,2
1362,Elephant,4
1363,Clue,5
1364,Jenga,3
1365,Twister,1
1366,Elephant,1
1367,Hippo,2
1368,Jenga,4
1369,Bird,1
1370,Hippo,4
1371,Clue,4
1372,Lego,2
1373,Jenga,2
1374,Lego,3
1375,Clue,3
1376,Clue,5
1377,Whale,5
1378,Elephant,1
1379,Twister,1
1380,Tux,1
1381,Jenga,5
1382,Clue,4
1383,Lego,2
1384,Bird,2
1385,Bird,5
1386,Clue,3
1387,Twister,3
1388,Hippo,5
1389,Bird,3
1390,Uno,1
1391,Uno,2
1392,Whale,5
1393,Clue,1
1394,Hippo,2
1395,Tux,1
1396,Whale,4
1397,Uno,2
1398,Uno,1
1399,Uno,1
1400,Clue,1
1401,Uno,4
1402,Jenga,2
1403,Whale,5
1404,Twister,2
1405,Twister,1
1406,Jenga,4
1407,Uno,3
1408,Twister,1
1409,Uno,1
1410,Hippo,5
1411,Whale,5
1412,Elephant,3
1413,Whale,4
1414,Jenga,1
1415,Elephant,2
1416,Bird,2
1417,Hippo,3
1418,Clue,4
1419,Tux,2
1420,Twister,2
1421,Clue,1
1422,Tux,3
1423,Lego,2
1424,Uno,5
1425,Clue,4
1426,Clue,5
1427,Bird,2
1428,Twister,1
1429,Elephant,4
1430,Elephant,4
1431,Whale,2
1432,Whale,5
1433,Uno,2
1434,Bird,2
1435,Elephant,1
1436,Elephant,2
1437,Elephant,5
1438,Whale,4
1439,Jenga,5
1440,Tux,4
1441,Bird,1
1442,Elephant,1
1443,Bird,2
1444,Hippo,4
1445,Elephant,3
1446,Tux,1
1447,Hippo,5
1448,Tux,5
1449,Twister,4
1450,Elephant,1
1451,Lego,5
1452,Tux,4
1453,Jenga,1
1454,Bird,1
1455,Whale,5
1456,Tux,2
1457,Hippo,3
1458,Tux,2
1459,Clue,1
1460,Clue,5
1461,Elephant,5
1462,Lego,1
1463,Bird,3
1464,Elephant,1
1465,Jenga,4
1466,Bird,3
1467,Twister,2
1468,Lego,1
1469,Clue,2
1470,Bird,2
1471,Uno,4
1472,Tux,1
1473,Twister,4
1474,Uno,3
1475,Twister,3
1476,Elephant,1
1477,Twister,5
1478,Lego,2
1479,Hippo,3
1480,Tux,1
1481,Elephant,1
1482,Bird,4
1483,Tux,4
1484,Whale,4
1485,Whale,4
1486,Clue,5
1487,Lego,3
1488,Tux,1
1489,Hippo,1
1490,Hippo,4
1491,Jenga,1
1492,Bird,3
1493,Elephant,1
1494,Elephant,3
1495,Lego,1
1496,Clue,1
1497,Twister,5
1498,Hippo,1
1499,Hippo,2
1500,Whale,3
1501,Bird,2
1502,Lego,2
1503,Lego,5
1504,Lego,4
1505,Tux,2
1506,Uno,2
1507,Clue,4
1508,Lego,3
1509,Lego,5
1510,Elephant,2
1511,Bird,4
1512,Clue,3
1513,Elephant,4
1514,Jenga,5
1515,Elephant,2
1516,Jenga,5
1517,Twister,1
1518,Elephant,4
1519,Bird,2
1520,Tux,4
1521,Bird,4
1522,Elephant,3
1523,Twister,2
1524,Tux,1
1525,Elephant,2
1526,Jenga,5
1527,Twister,2
1528,Jenga,2
1529,Bird,1
1530,Hippo,3
1531,Jenga,1
1532,Clue,2
1533,Jenga,4
1534,Hippo,4
1535,Lego,5
1536,Lego,5
1537,Twister,1
1538,Bird,3
1539,Twister,3
1540,Bird,2
1541,Twister,2
1542,Whale,2
1543,Lego,1
1544,Elephant,4
1545,Elephant,1
1546,Tux,1
1547,Hippo,4
1548,Bird,2
1549,Bird,3
1550,Twister,3
1551,Hippo,3
1552,Tux,3
1553,Whale,2
1554,Bird,1
1555,Tux,2
1556,Clue,5
1557,Clue,1
1558,Lego,2
1559,Tux,1
1560,Whale,2
1561,Whale,1
1562,Twister,1
1563,Bird,1
1564,Uno,4
1565,Hippo,1
1566,Clue,3
1567,Twister,1
1568,Jenga,2
1569,Hippo,3
1570,Bird,2
1571,Lego,2
1572,Bird,2
1573,Lego,5
1574,Hippo,5
1575,Hippo,4
1576,Uno,5
1577,Hippo,4
1578,Jenga,2
1579,Bird,2
1580,Hippo,4
1581,Twister,4
1582,Lego,5
1583,Lego,3
1584,Lego,2
1585,Clue,2
1586,Bird,3
1587,Jenga,1
1588,Whale,4
1589,Hippo,4
1590,Elephant,1
1591,Jenga,4
1592,Elephant,5
1593,Jenga,4
1594,Whale,4
1595,Jenga,1
1596,Uno,2
1597,Uno,1
1598,Uno,3
1599,Jenga,5
1600,Whale,2
1601,Tux,4
1602,Uno,5
1603,Twister,3
1604,Uno,3
1605,Uno,4
1606,Uno,5
1607,Lego,5
1608,Whale,2
